"","ID","del","m","n","b","cn","cp","cnp","cpn","g","rhop","rhon","Cnp"
"225",225,0.1,0.2,0,0.4,0.05,0.2,0.15,0.2,0,0,0.394,NA
"226",226,0.1,0.2,0,0.8,0.1,0.2,0.15,0.2,0,0,0.705,NA
"227",227,0.1,0.2,0,0.7,0.1,0.2,0.15,0.2,0,0,0.657,NA
"228",228,0.1,0.2,0,0.6,0.1,0.2,0.15,0.2,0,0,0.592,NA
"229",229,0.1,0.2,0,0.5,0.1,0.2,0.15,0.2,0,0,0.499,NA
"230",230,0.1,0.2,0,0.4,0.1,0.2,0.15,0.2,0,0,0.362,NA
"231",231,0.1,0.2,0,0.8,0.15,0.2,0.15,0.2,0,0.073,0.615,0.712774251030182
"232",232,0.1,0.2,0,0.7,0.15,0.2,0.15,0.2,0,0.068,0.569,0.697818670526207
"233",233,0.1,0.2,0,0.6,0.15,0.2,0.15,0.2,0,0.06,0.506,0.691699604743083
"234",234,0.1,0.2,0,0.5,0.15,0.2,0.15,0.2,0,0.05,0.419,0.668257756563246
"235",235,0.1,0.2,0,0.4,0.15,0.2,0.15,0.2,0,0.035,0.295,0.677966101694915
"236",236,0.1,0.2,0,0.8,0.2,0.2,0.15,0.2,0,0.643,0.032,0.680404354587869
"237",237,0.1,0.2,0,0.7,0.2,0.2,0.15,0.2,0,0.593,0.027,0.687027668477921
"238",238,0.1,0.2,0,0.6,0.2,0.2,0.15,0.2,0,0.524,0.023,0.663790242283438
"239",239,0.1,0.2,0,0.5,0.2,0.2,0.15,0.2,0,0.428,0.019,0.614854894244958
"240",240,0.1,0.2,0,0.4,0.2,0.2,0.15,0.2,0,0.293,0.016,0.639931740614335
"241",241,0.1,0.2,0,0.8,0.05,0.05,0.2,0.2,0,0,0.719,NA
"242",242,0.1,0.2,0,0.7,0.05,0.05,0.2,0.2,0,0,0.675,NA
"243",243,0.1,0.2,0,0.6,0.05,0.05,0.2,0.2,0,0,0.614,NA
"244",244,0.1,0.2,0,0.5,0.05,0.05,0.2,0.2,0,0,0.527,NA
